采样率,100,-140°,1449.23750000,零点角度,13.48,+140°,1799.46875000
时间(s),角度(°),角速度(°/s)
0.000000,1718.500000,0.000000
0.010000,1722.000000,0.000000
0.020000,1726.500000,0.000000
0.030000,1731.500000,0.000000
0.040000,1735.000000,0.000000
0.050000,1740.000000,0.000000
0.060000,1739.500000,0.000000
0.070000,1745.500000,0.000000
0.080000,1750.000000,0.000000
0.090000,1750.500000,0.000000
0.100000,1754.500000,0.000000
0.110000,1756.500000,0.000000
0.120000,1758.500000,0.000000
0.130000,1761.000000,0.000000
0.140000,1764.000000,0.000000
0.150000,1765.500000,0.000000
0.160000,1767.000000,303.120000
0.170000,1768.000000,287.500000
0.180000,1769.500000,268.750000
0.190000,1770.000000,240.620000
0.200000,1773.000000,237.500000
0.210000,1773.500000,209.380000
0.220000,1773.500000,212.500000
0.230000,1773.500000,175.000000
0.240000,1773.500000,146.880000
0.250000,1774.000000,146.880000
0.260000,1773.000000,115.620000
0.270000,1776.000000,121.880000
0.280000,1772.500000,87.500000
0.290000,1773.000000,75.000000
0.300000,1773.000000,56.250000
0.310000,1773.000000,46.880000
0.320000,1772.000000,31.250000
0.330000,1770.500000,15.620000
0.340000,1766.500000,-18.750000
0.350000,1765.000000,-31.250000
0.360000,1764.000000,-56.250000
0.370000,1761.500000,-75.000000
0.380000,1757.500000,-100.000000
0.390000,1757.000000,-103.120000
0.400000,1754.000000,-121.880000
0.410000,1749.500000,-153.120000
0.420000,1747.500000,-159.380000
0.430000,1743.500000,-203.120000
0.440000,1740.500000,-200.000000
0.450000,1735.500000,-234.380000
0.460000,1733.500000,-246.880000
0.470000,1728.500000,-278.120000
0.480000,1725.000000,-293.750000
0.490000,1721.000000,-309.380000
0.500000,1716.500000,-312.500000
0.510000,1710.000000,-343.750000
0.520000,1707.000000,-356.250000
0.530000,1701.000000,-378.120000
0.540000,1697.500000,-375.000000
0.550000,1692.000000,-406.250000
0.560000,1686.500000,-421.880000
0.570000,1680.500000,-431.250000
0.580000,1676.500000,-443.750000
0.590000,1672.500000,-443.750000
0.600000,1667.500000,-456.250000
0.610000,1662.500000,-456.250000
0.620000,1655.000000,-490.620000
0.630000,1650.500000,-487.500000
0.640000,1646.000000,-493.750000
0.650000,1641.500000,-496.880000
0.660000,1636.000000,-503.120000
0.670000,1631.000000,-493.750000
0.680000,1624.500000,-515.620000
0.690000,1619.500000,-509.380000
0.700000,1615.000000,-515.620000
0.710000,1608.000000,-525.000000
0.720000,1604.500000,-512.500000
0.730000,1599.500000,-506.250000
0.740000,1593.500000,-518.750000
0.750000,1588.500000,-525.000000
0.760000,1584.000000,-521.880000
0.770000,1580.500000,-512.500000
0.780000,1574.500000,-503.120000
0.790000,1569.500000,-506.250000
0.800000,1566.500000,-496.880000
0.810000,1562.500000,-493.750000
0.820000,1555.500000,-503.120000
0.830000,1551.500000,-496.880000
0.840000,1549.500000,-468.750000
0.850000,1544.500000,-468.750000
0.860000,1540.500000,-465.620000
0.870000,1535.500000,-453.120000
0.880000,1532.500000,-450.000000
0.890000,1526.500000,-456.250000
0.900000,1525.000000,-428.120000
0.910000,1522.000000,-415.620000
0.920000,1519.000000,-406.250000
0.930000,1516.000000,-403.120000
0.940000,1511.000000,-396.880000
0.950000,1510.000000,-371.880000
0.960000,1507.000000,-371.880000
0.970000,1505.000000,-359.380000
0.980000,1503.500000,-325.000000
0.990000,1500.500000,-318.750000
1.000000,1499.500000,-312.500000
1.010000,1497.000000,-296.880000
1.020000,1498.000000,-265.620000
1.030000,1496.500000,-243.750000
1.040000,1495.500000,-231.250000
1.050000,1497.000000,-184.380000
1.060000,1496.000000,-181.250000
